"filename", "language", "JSON", "Docker", "C++", "Markdown", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\dev\cpp-judger-project\backend\myapp\temp\150\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\151\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\152\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\153\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\154\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\155\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\156\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\157\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\158\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\159\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\15\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\160\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\161\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\162\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\163\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\164\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\165\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\166\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\167\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
